org_list	MBE035	MBE036	MBE037	MBE038	MBM135	MBM137	MBS1533	MBS1558	MBS1559	MBS1563	MBS1567	MBS1579	MBS1587	MBS1592	MBS1594	MBS1605	MHS232	MHS236	MHS238	MHS239	MHS243	MHS246	MHS253	MHS266	MHS267	MHS276	MHS279	MHS283	MHS287	MHS289
Bacteroides thetaiotaomicron	0	11.234718864549698	0.146161443472778	0	0.32213715546752697	0	1.7781505475228925	0.6062167279880094	3.086049608858961	0.7394945104292392	1.2441592318716674	3.4642142679702053	3.630490574296376	0.6757742756422707	0.11577517121242176	1.8822581554015752	0.5066242756078032	0.12722192256374276	0.1270565752129046	0	0.21337779495997322	0.24191313219764374	0	0	0	1.42783715154503	0	0	0	0
Haemophilus parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0.8805445659715508	0	0	0	0	0	0	2.352162958490669	0	0	0	0	0	0.13978958597521274	0	0	0.5418076686903831	0	0
Alistipes indistinctus	0	0.26723712682697004	0	0	0.2163803674043726	0.28716013079781966	0	0	0	0.1589303093474698	0	0	0	2.5710515884734373	0	8.356178948568559	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1469834084495002
Bacteroides xylanisolvens	0	0.24982459135144522	0	0	0	0	0.45024185261063365	1.936425160591446	1.1899680570602174	1.104919985397943	0	0.2953977235111321	0.1352279375426731	0.3776976628593476	0.3473356285395203	0.1496535751908303	0.5559033770411249	0.4143229092737765	0	0	0	0	0	0	0	0	4.120989404918962	0	0	0
Anaerostipes hadrus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12156511293086772	0	0.3083797441326667	0	0.25944840104604805	0	0.14280356107754585	0	0	0	0	0.10976290866529989
Rothia mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1935438691633266	0	0.11813179159383741	0	0.3096332663478944	0	0
Clostridium citroniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19886758249346137	0	0	0
Enterobacter cloacae	0	0	0.5954966303924972	0	0	0.17687214892940417	0	0	0	0	0	0	0	0	5.26879189529296	0.6106934171547125	0	0	0	0	0	0	0	0	0	0.8681167513161758	0	0	0	0
Lachnospiraceae bacterium 7 1 58FAA	0	0	0	0.1697928125821967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Veillonella parvula	0	0	0	0	0	0	0.13373074833583148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klebsiella oxytoca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6451979088358535	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium bartlettii	0	0.14852993411116705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13159738246679129	0.13973799653323526	0	0.1405793911058794	0
Flavonifractor plautii	0	0.37091720077690105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11360548631867529	0	0	0	0	0	0	0.13449229640141522	0.11829329793114421	0	0	0	0
Weissella confusa	0	0	0.11538687011819408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21097872064304454	0	0	0	0	0	0.5178507195068403	0	0	0	0	0	0
Clostridium bolteae	0	1.2305630056492103	0	0	0	0	0	0	0.2567989663544982	0	0.1633606263092993	0	0	0.6821472070019438	0	0	0.36131953774104153	0	0	0	0	0	0	0	0.15468694439347863	0.4984994042434983	3.0809398900469116	0	0	0
Veillonella atypica	0	0	0	0	0	0	0	0	0	0	0	0.1464486777709999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1625661021506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15186694920132787
